Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Caleb Houstan,SF,21,ORL,8,0,6.0,0.8,1.6,.462,0.6,1.5,.417,0.1,0.1,1.000,.654,0.1,0.1,1.000,0.0,0.8,0.8,0.5,0.1,0.0,0.3,0.4,2.3
Jett Howard,SF,20,ORL,5,0,4.6,0.2,2.0,.100,0.0,1.6,.000,0.2,0.4,.500,.100,0.0,0.0,,0.2,0.2,0.4,0.4,0.0,0.0,0.4,0.0,0.4
Kevin Huerter,SG,25,SAC,12,12,27.6,4.9,11.1,.444,2.6,7.0,.369,2.3,4.1,.571,.560,0.8,1.0,.833,0.6,3.7,4.3,2.9,1.1,0.3,0.9,2.3,13.3
De'Andre Hunter,SF,26,ATL,13,13,29.3,4.4,9.9,.442,1.5,4.4,.351,2.8,5.5,.514,.519,2.1,2.6,.794,0.7,3.0,3.7,1.5,0.8,0.3,1.5,3.0,12.4
Bones Hyland,PG,23,LAC,9,2,21.3,4.0,9.2,.434,1.8,4.9,.364,2.2,4.3,.513,.530,1.0,1.1,.900,0.2,1.3,1.6,2.7,0.7,0.0,1.9,2.3,10.8
Joe Ingles,SF,36,ORL,14,0,18.9,1.2,3.6,.333,0.9,2.7,.316,0.4,0.9,.385,.451,0.4,0.4,.833,0.5,2.0,2.5,3.1,0.9,0.1,0.9,1.4,3.6
Brandon Ingram,SF,26,NOP,11,11,33.6,9.7,19.5,.500,1.5,4.8,.302,8.3,14.6,.565,.537,3.2,4.1,.778,0.7,4.7,5.5,5.0,0.6,0.2,2.9,1.5,24.1
Kyrie Irving,SG,31,DAL,11,11,32.9,8.9,18.8,.473,2.7,7.1,.385,6.2,11.7,.527,.546,3.4,3.8,.881,0.7,3.2,3.9,6.1,1.1,0.4,1.6,2.0,23.9
Jonathan Isaac,PF,26,ORL,12,0,13.7,2.2,5.3,.413,0.7,2.6,.258,1.5,2.7,.563,.476,1.5,1.9,.783,1.0,3.1,4.1,0.3,1.0,1.4,0.8,1.3,6.5
Jaden Ivey,SG,21,DET,11,2,22.2,4.2,8.0,.523,1.1,3.1,.353,3.1,4.9,.630,.591,1.9,2.4,.808,0.8,1.8,2.6,2.9,0.7,0.3,2.2,2.5,11.4
Andre Jackson Jr.,SG,22,MIL,10,2,8.6,0.7,1.3,.538,0.3,0.7,.429,0.4,0.6,.667,.654,0.0,0.0,,0.7,0.8,1.5,0.9,0.3,0.0,0.6,1.6,1.7
Gregory Jackson II,PF,19,MEM,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Jackson,C,22,IND,7,0,13.9,1.7,3.0,.571,0.0,0.0,,1.7,3.0,.571,.571,1.7,2.7,.632,1.6,2.7,4.3,0.9,0.6,2.0,0.4,3.1,5.1
Jaren Jackson Jr.,C,24,MEM,13,13,30.7,6.6,15.4,.430,1.6,5.2,.313,5.0,10.2,.489,.483,4.9,5.8,.842,1.8,4.3,6.2,2.0,0.5,1.6,1.8,3.3,19.8
Reggie Jackson,PG,33,DEN,14,7,25.1,4.6,9.6,.485,1.4,3.8,.358,3.3,5.8,.568,.556,0.8,1.3,.611,0.1,1.7,1.9,3.6,0.9,0.4,1.4,1.7,11.4
Trayce Jackson-Davis,PF,23,GSW,11,0,7.5,0.9,1.6,.556,0.0,0.0,,0.9,1.6,.556,.556,1.0,1.6,.611,0.8,0.9,1.7,0.5,0.1,0.5,0.4,1.3,2.8
LeBron James,PF,39,LAL,14,14,33.6,9.6,16.4,.587,2.3,5.6,.410,7.4,10.9,.678,.657,4.1,5.9,.699,0.6,7.4,8.1,6.6,1.6,0.7,3.9,1.4,25.7
Jaime Jaquez Jr.,SF,22,MIA,14,3,24.6,4.0,7.9,.509,1.1,3.0,.357,2.9,4.9,.603,.577,0.6,0.7,.800,1.1,2.2,3.4,2.3,1.1,0.2,1.2,2.3,9.6
DaQuan Jeffries,SG,26,NYK,6,0,3.0,0.5,1.3,.375,0.2,0.7,.250,0.3,0.7,.500,.438,0.0,0.3,.000,0.0,0.5,0.5,0.2,0.0,0.0,0.2,0.2,1.2
Ty Jerome,SG,26,CLE,2,0,7.5,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0
Isaiah Joe,SG,24,OKC,14,0,19.6,3.3,7.0,.469,2.8,5.6,.500,0.5,1.4,.350,.668,0.9,1.2,.765,0.1,2.1,2.2,1.1,0.9,0.1,0.6,1.2,10.3
Cameron Johnson,PF,27,BRK,6,6,28.3,4.8,12.0,.403,2.2,6.5,.333,2.7,5.5,.485,.493,1.8,2.2,.846,1.5,3.5,5.0,1.8,1.0,0.2,1.7,2.0,13.7
Jalen Johnson,SF,22,ATL,13,10,30.8,6.1,10.2,.598,1.2,2.8,.417,4.9,7.4,.667,.655,1.8,2.4,.774,1.5,6.4,7.8,2.5,1.0,1.0,1.9,2.3,15.2
Keldon Johnson,SF,24,SAS,13,13,32.6,6.5,14.0,.462,2.1,5.8,.360,4.4,8.2,.533,.536,1.8,2.6,.676,0.8,5.6,6.4,4.3,0.8,0.3,1.2,2.5,16.8
Keyontae Johnson,SF,23,OKC,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Jokić,C,28,DEN,14,14,32.9,10.7,18.7,.573,1.4,4.6,.297,9.4,14.1,.662,.609,4.6,5.8,.790,2.9,10.3,13.1,8.7,0.9,0.8,3.3,2.3,27.4
Colby Jones,SG,21,SAC,8,0,8.6,1.5,3.3,.462,0.1,0.9,.143,1.4,2.4,.579,.481,0.3,0.4,.667,0.6,1.0,1.6,0.3,0.3,0.1,0.4,1.1,3.4
Damian Jones,C,28,CLE,9,0,4.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.1,0.2,.500,0.2,0.6,0.8,0.2,0.0,0.1,0.2,0.3,0.8
Derrick Jones Jr.,SF,26,DAL,14,14,22.0,3.2,6.6,.484,1.4,3.8,.358,1.9,2.9,.650,.586,0.9,1.3,.722,0.9,2.8,3.7,1.1,0.5,0.6,1.1,1.2,8.7
Herbert Jones,SF,25,NOP,11,11,31.0,3.9,7.5,.518,1.1,3.1,.353,2.8,4.5,.633,.590,2.7,3.1,.882,0.6,3.6,4.3,2.9,2.0,1.6,1.2,3.7,11.6
Tre Jones,PG,24,SAS,11,0,25.1,3.1,7.2,.430,0.5,2.2,.250,2.5,5.0,.509,.468,1.6,1.8,.900,0.8,2.0,2.8,5.6,0.6,0.4,1.5,1.3,8.4
Tyus Jones,PG,27,WAS,13,13,26.7,4.5,9.1,.492,1.2,3.2,.366,3.3,5.9,.558,.555,0.3,0.5,.667,0.3,2.3,2.6,4.7,0.8,0.2,0.8,1.0,10.4
DeAndre Jordan,C,35,DEN,1,0,12.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,2.0,.500,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
Cory Joseph,PG,32,GSW,6,0,7.8,0.7,2.7,.250,0.7,2.0,.333,0.0,0.7,.000,.375,0.0,0.2,.000,0.3,0.3,0.7,1.5,0.2,0.2,0.7,0.7,2.0
Nikola Jović,PF,20,MIA,2,1,14.0,2.0,4.0,.500,1.5,2.5,.600,0.5,1.5,.333,.688,1.0,1.0,1.000,0.0,7.5,7.5,2.0,0.5,0.0,1.0,1.0,6.5
Luke Kennard,SG,27,MEM,8,0,21.5,2.6,7.3,.362,2.1,5.8,.370,0.5,1.5,.333,.509,0.9,0.9,1.000,0.4,2.5,2.9,2.0,0.6,0.1,0.6,0.5,8.3
